1st: #157
Dao: #DA0
DAS: #DA5
Dassel: #DA55E1
dassie: #DA551E
DAT: #DA7
dat.: #DA7
Datisi: #DA7151
dattos: #DA7705
DBA: #DBA
DBE: #DBE
DBF: #DBF
DBI: #DB1
dbl: #DB1
dbl.: #DB1
DBO: #DB0
DBS: #DB5
DCA: #DCA
DCB: #DCB
DCC: #DCC
DCD: #DCD
DCE: #DCE
DCI: #DC1
DCL: #DC1
dclass: #DC1A55
DCO: #DC0
DCS: #DC5
DCT: #DC7
DDA: #DDA
DDB: #DDB
DDC: #DDC
DDD: #DDD
DDE: #DDE
DDL: #DD1
DDS: #DD5
DDT: #DD7
DEA: #DEA
deasil: #DEA511
Deb: #DEB
deb.: #DEB
debase: #DEBA5E
debate: #DEBA7E
Debbee: #DEBBEE
Debbie: #DEBB1E
debcle: #DEBC1E
debell: #DEBE11
debile: #DEB11E
debite: #DEB17E
debits: #DEB175
deblai: #DEB1A1
DeBolt: #DEB017
deboss: #DEB055
debted: #DEB7ED
debtee: #DEB7EE
DEC: #DEC
Dec.: #DEC
decade: #DECADE
decadi: #DECAD1
decafs: #DECAF5
decals: #DECA15
decast: #DECA57
decate: #DECA7E
Decato: #DECA70
decede: #DECEDE
deceit: #DECE17
decess: #DECE55
decide: #DEC1DE
decile: #DEC11E
decise: #DEC15E
decoat: #DEC0A7
decoct: #DEC0C7
decode: #DEC0DE
decoic: #DEC01C
decoll: #DEC011
DEd: #DED
Dee: #DEE
deeded: #DEEDED
Deedee: #DEEDEE
deeses: #DEE5E5
deesis: #DEE515
def: #DEF
def.: #DEF
deface: #DEFACE
defade: #DEFADE
defail: #DEFA11
defats: #DEFA75
defeat: #DEFEA7
defect: #DEFEC7
defeit: #DEFE17
defial: #DEF1A1
defied: #DEF1ED
defies: #DEF1E5
defile: #DEF11E
deflea: #DEF1EA
defoil: #DEF011
DEI: #DE1
Deibel: #DE1BE1
deiced: #DE1CED
deices: #DE1CE5
deific: #DE1F1C
deists: #DE1575
Del: #DE1
Del.: #DE1
delace: #DE1ACE
delate: #DE1A7E
delead: #DE1EAD
delete: #DE1E7E
delfts: #DE1F75
delice: #DE11CE
delict: #DE11C7
delies: #DE11E5
Delila: #DE111A
delist: #DE1157
Deloit: #DE1017
deltal: #DE17A1
deltas: #DE17A5
delta's: #DE17A5
deltic: #DE171C
DES: #DE5
des-: #DE5
desalt: #DE5A17
Desdee: #DE5DEE
deseed: #DE5EED
desilt: #DE5117
desist: #DE5157
desole: #DE501E
Desoto: #DE5070
dessil: #DE5511
DET: #DE7
detail: #DE7A11
detect: #DE7EC7
detest: #DE7E57
DFA: #DFA
DFC: #DFC
DFD: #DFD
DFE: #DFE
DFI: #DF1
DFS: #DF5
DFT: #DF7
DIA: #D1A
dia-: #D1A
diable: #D1AB1E
Diablo: #D1AB10
diabol-: #D1AB01
diacid: #D1AC1D
diacle: #D1AC1E
diadic: #D1AD1C
dialed: #D1A1ED
Diasia: #D1A51A
DIB: #D1B
dibase: #D1BA5E
dibbed: #D1BBED
dibble: #D1BB1E
Diboll: #D1B011
DIC: #D1C
dicast: #D1CA57
dicots: #D1C075
dictic: #D1C71C
DID: #D1D
didact: #D1DAC7
diddle: #D1DD1E
diddle-: #D1DD1E
didest: #D1DE57
didies: #D1D1E5
didoes: #D1D0E5
Die: #D1E
dielec: #D1E1EC
Diella: #D1E11A
Dielle: #D1E11E
Diesel: #D1E5E1
dieses: #D1E5E5
diesis: #D1E515
dietal: #D1E7A1
dieted: #D1E7ED
dietic: #D1E71C
DIF: #D1F
dif-: #D1F
diiodo: #D110D0
DIL: #D11
dilate: #D11A7E
dildoe: #D11D0E
dildos: #D11D05
dilled: #D111ED
Dillie: #D1111E
dillis: #D11115
Dilolo: #D11010
diobol: #D10B01
diodes: #D10DE5
diode's: #D10DE5
Diodia: #D10D1A
diotic: #D1071C
DIS: #D15
dis-: #D15
discal: #D15CA1
disced: #D15CED
discos: #D15C05
DISOSS: #D15055
